0 [4.00e-02, 5.10e+01]
600 [8.16e-03, 5.03e+01]
1200 [1.37e-02, 4.91e+01]
1800 [1.56e-02, 4.83e+01]
2400 [1.68e-02, 4.76e+01]
3000 [1.86e-02, 4.69e+01]
3600 [2.00e-02, 4.61e+01]
4200 [2.12e-02, 4.54e+01]
4800 [2.23e-02, 4.48e+01]
5400 [2.41e-02, 4.41e+01]
6000 [2.57e-02, 4.34e+01]
6600 [2.73e-02, 4.28e+01]
7200 [2.90e-02, 4.21e+01]
7800 [3.09e-02, 4.15e+01]
8400 [3.28e-02, 4.09e+01]
9000 [3.47e-02, 4.04e+01]
9600 [3.63e-02, 3.99e+01]
10200 [3.76e-02, 3.95e+01]
10800 [3.85e-02, 3.92e+01]
11400 [3.90e-02, 3.90e+01]
12000 [3.93e-02, 3.89e+01]
12600 [4.01e-02, 3.87e+01]
13200 [3.97e-02, 3.88e+01]
13800 [4.06e-02, 3.86e+01]
14400 [4.16e-02, 3.83e+01]
15000 [4.08e-02, 3.85e+01]
15600 [4.00e-02, 3.87e+01]
16200 [3.97e-02, 3.88e+01]
16800 [3.97e-02, 3.88e+01]
17400 [3.73e-02, 3.94e+01]
18000 [3.64e-02, 3.97e+01]
18600 [3.59e-02, 3.96e+01]
19200 [3.75e-02, 3.92e+01]
19800 [3.83e-02, 3.90e+01]
20000 [3.85e-02, 3.89e+01]
