0 [4.00e-02, 5.10e+01]
600 [8.29e-03, 5.03e+01]
1200 [1.40e-02, 4.91e+01]
1800 [1.58e-02, 4.83e+01]
2400 [1.75e-02, 4.75e+01]
3000 [1.89e-02, 4.68e+01]
3600 [2.03e-02, 4.61e+01]
4200 [2.16e-02, 4.54e+01]
4800 [2.30e-02, 4.47e+01]
5400 [2.44e-02, 4.41e+01]
6000 [2.61e-02, 4.34e+01]
6600 [2.79e-02, 4.27e+01]
7200 [2.96e-02, 4.21e+01]
7800 [3.14e-02, 4.15e+01]
8400 [3.31e-02, 4.09e+01]
9000 [3.49e-02, 4.04e+01]
9600 [3.63e-02, 3.99e+01]
10200 [3.79e-02, 3.94e+01]
10800 [3.99e-02, 3.91e+01]
11400 [3.93e-02, 3.89e+01]
12000 [3.87e-02, 3.91e+01]
12600 [3.83e-02, 3.91e+01]
13200 [3.91e-02, 3.88e+01]
13800 [3.89e-02, 3.88e+01]
14400 [3.88e-02, 3.89e+01]
15000 [3.89e-02, 3.89e+01]
15600 [3.91e-02, 3.89e+01]
16200 [4.02e-02, 3.87e+01]
16800 [3.96e-02, 3.87e+01]
17400 [3.96e-02, 3.87e+01]
18000 [3.96e-02, 3.87e+01]
18600 [3.92e-02, 3.87e+01]
19200 [3.87e-02, 3.89e+01]
19800 [3.85e-02, 3.90e+01]
20000 [3.85e-02, 3.90e+01]
