0 [4.00e-02, 5.10e+01]
600 [8.74e-03, 5.03e+01]
1200 [2.12e-02, 4.90e+01]
1800 [2.68e-02, 4.80e+01]
2400 [2.96e-02, 4.72e+01]
3000 [3.16e-02, 4.65e+01]
3600 [3.36e-02, 4.59e+01]
4200 [3.58e-02, 4.52e+01]
4800 [3.83e-02, 4.46e+01]
5400 [4.07e-02, 4.40e+01]
6000 [4.29e-02, 4.34e+01]
6600 [4.51e-02, 4.29e+01]
7200 [4.70e-02, 4.25e+01]
7800 [4.93e-02, 4.20e+01]
8400 [4.88e-02, 4.15e+01]
9000 [4.91e-02, 4.12e+01]
9600 [4.94e-02, 4.11e+01]
10200 [4.85e-02, 4.12e+01]
10800 [4.99e-02, 4.16e+01]
11400 [4.98e-02, 4.17e+01]
12000 [4.96e-02, 4.16e+01]
12600 [4.93e-02, 4.09e+01]
13200 [4.91e-02, 4.10e+01]
13800 [4.93e-02, 4.13e+01]
14400 [4.93e-02, 4.13e+01]
15000 [4.89e-02, 4.15e+01]
15600 [4.89e-02, 4.15e+01]
16200 [4.95e-02, 4.16e+01]
16800 [4.97e-02, 4.17e+01]
17400 [4.89e-02, 4.11e+01]
18000 [4.97e-02, 4.11e+01]
18600 [4.87e-02, 4.15e+01]
19200 [4.85e-02, 4.14e+01]
19800 [4.90e-02, 4.11e+01]
20000 [4.99e-02, 4.14e+01]
